COSMIC_ID,CELL_LINE_NAME
DATA.684057,ES5
DATA.684059,ES7
DATA.684062,EW-11
DATA.684072,SK-ES-1
DATA.687448,COLO-829
DATA.687562,8-MG-BA
DATA.687568,GB-1
DATA.687590,U-87-MG
DATA.687600,NCI-H720
DATA.687799,NCI-H1648
DATA.687800,NCI-H1650
DATA.687804,NCI-H1770
DATA.687807,NCI-H1838
DATA.687983,DMS-114
DATA.687997,NCI-H1092
DATA.688006,NCI-H1694
DATA.688007,NCI-H187
DATA.688010,NCI-H1963
DATA.688013,NCI-H209
DATA.688014,NCI-H2141
DATA.688018,NCI-H2227
DATA.688021,NCI-H345
DATA.688023,NCI-H446
DATA.688025,NCI-H526
DATA.688026,NCI-H64
DATA.688027,NCI-H69
DATA.688031,NCI-H82
DATA.688086,SK-N-DZ
DATA.688087,SK-N-FI
DATA.688121,VA-ES-BJ
DATA.713878,LU-139
DATA.713885,SBC-1
DATA.724859,Calu-6
DATA.724863,LU-65
DATA.724866,NCI-H1355
DATA.724872,SHP-77
DATA.735784,TE-5
DATA.749711,HCC1187
DATA.749713,HCC1599
DATA.749715,HCC2157
DATA.749716,HCC2218
DATA.753531,BB30-HNC
DATA.753532,BB49-HNC
DATA.753546,CP66-MEL
DATA.753547,CPC-N
DATA.753548,CTV-1
DATA.753549,D-542MG
DATA.753551,DMS-79
DATA.753552,DSH1
DATA.753555,EC-GI-10
DATA.753558,HA7-RCC
DATA.753563,IM-9
DATA.753564,IST-SL1
DATA.753565,IST-SL2
DATA.753577,LB1047-RCC
DATA.753578,LB2241-RCC
DATA.753579,LB2518-MEL
DATA.753581,LB373-MEL-D
DATA.753582,LB647-SCLC
DATA.753583,LB771-HNC
DATA.753584,LB831-BLC
DATA.753585,LB996-RCC
DATA.753588,LU-134-A
DATA.753589,LU-165
DATA.753592,LXF-289
DATA.753594,MS-1
DATA.753595,MZ1-PC
DATA.753596,MZ7-mel
DATA.753599,NCI-H1304
DATA.753605,NCI-H510A
DATA.753612,SK-MM-2
DATA.753614,TE-15
DATA.753615,U-266
DATA.753616,BE2-M17
DATA.753618,KELLY
DATA.753620,SIMA
DATA.753621,TE-1
DATA.753622,TE-10
DATA.753623,TE-8
DATA.905938,HL-60
DATA.905940,K-562
DATA.905941,NCI-H226
DATA.905942,NCI-H23
DATA.905952,CCRF-CEM
DATA.905955,SK-MEL-2
DATA.905958,MOLT-4
DATA.905964,RPMI-8226
DATA.905965,SR
DATA.905967,NCI-H322M
DATA.905970,EKVX
DATA.905971,HCC2998
DATA.905972,HOP-62
DATA.905974,LOXIMVI
DATA.905977,UACC-257
DATA.905978,RXF393
DATA.905980,TK10
DATA.905982,SNB75
DATA.905984,SF539
DATA.905986,SF268
DATA.905989,KM12
DATA.905990,OVCAR-4
DATA.906746,Becker
DATA.906763,BE-13
DATA.906765,ARH-77
DATA.906794,A253
DATA.906800,697
DATA.906808,COR-L88
DATA.906812,COLO-824
DATA.906813,COLO-800
DATA.906831,Daudi
DATA.906832,DB
DATA.906834,D-283MED
DATA.906836,DEL
DATA.906838,DG-75
DATA.906841,DJM-1
DATA.906842,DOHH-2
DATA.906844,DU-4475
DATA.906846,EB2
DATA.906847,EB-3
DATA.906849,ECC12
DATA.906854,EHEB
DATA.906855,EM-2
DATA.906856,EoL-1-cell
DATA.906861,ETK-1
DATA.906862,EVSA-T
DATA.906869,GCIY
DATA.906870,GDM-1
DATA.906871,GI-1
DATA.906872,GI-ME-N
DATA.906875,GOTO
DATA.906877,GR-ST
DATA.907043,H9
DATA.907044,HC-1
DATA.907053,HEL
DATA.907056,HH
DATA.907067,HT-144
DATA.907073,HuTu-80
DATA.907170,IMR-5
DATA.907172,IST-MEL1
DATA.907173,IST-MES1
DATA.907175,JAR
DATA.907268,JiyoyeP-2003
DATA.907269,JVM-2
DATA.907270,JVM-3
DATA.907271,KALS-1
DATA.907272,KARPAS-45
DATA.907273,KARPAS-299
DATA.907274,KARPAS-422
DATA.907275,KASUMI-1
DATA.907277,KE-37
DATA.907278,KG-1
DATA.907279,KINGS-1
DATA.907280,KMOE-2
DATA.907282,KNS-42
DATA.907290,H-EMC-SS
DATA.907300,KY821
DATA.907311,KU812
DATA.907313,KS-1
DATA.907314,KP-N-YN
DATA.907322,L-428
DATA.907323,L-540
DATA.907783,LAMA-84
DATA.907786,LC-2-ad
DATA.907787,LC4-1
DATA.907788,LNCaP-Clone-FGC
DATA.907789,LOUCY
DATA.907791,LP-1
DATA.907792,LS-123
DATA.907794,LS-411N
DATA.907795,LS-513
DATA.907799,MC116
DATA.908126,MEG-01
DATA.908135,MHH-NB-11
DATA.908136,MHH-PREB-1
DATA.908141,ML-2
DATA.908142,MLMA
DATA.908143,MN-60
DATA.908147,MOLT-16
DATA.908148,MONO-MAC-6
DATA.908149,Mo-T
DATA.908150,MPP-89
DATA.908151,MRK-nu-1
DATA.908152,MSTO-211H
DATA.908156,MV-4-11
DATA.908158,NALM-6
DATA.908159,NAMALWA
DATA.908440,NB69
DATA.908441,NCCIT
DATA.908444,SNU-1
DATA.908445,SNU-5
DATA.908446,SNU-16
DATA.908447,NH-12
DATA.908448,NKM-1
DATA.908449,NMC-G1
DATA.908450,no-11
DATA.908451,NOMO-1
DATA.908452,no-10
DATA.908454,NTERA-2-cl-D1
DATA.908457,NCI-H747
DATA.908458,NCI-H716
DATA.908467,NCI-H1155
DATA.908469,NCI-H1436
DATA.908471,NCI-H1581
DATA.908473,NCI-H1666
DATA.908481,NCI-H2196
DATA.908483,NCI-H524
DATA.909194,NCI-H748
DATA.909248,ONS-76
DATA.909249,OPM-2
DATA.909250,OS-RC-2
DATA.909252,P30-OHK
DATA.909253,P31-FUJ
DATA.909256,OCUB-M
DATA.909260,PF-382
DATA.909262,Raji
DATA.909696,REH
DATA.909697,RF-48
DATA.909698,RKO
DATA.909701,RPMI-6666
DATA.909702,RPMI-8402
DATA.909703,RS4-11
DATA.909711,SCH
DATA.909712,SF126
DATA.909713,SH-4
DATA.909715,SIG-M5
DATA.909717,SJSA-1
DATA.909720,SK-LMS-1
DATA.909722,SKM-1
DATA.909723,SK-MEL-1
DATA.909731,SK-PN-DW
DATA.909732,SK-UT-1
DATA.909742,SU-DHL-1
DATA.909743,SUP-T1
DATA.909754,SW684
DATA.909756,SW872
DATA.909758,SW962
DATA.909769,TGBC1TKB
DATA.909771,THP-1
DATA.909773,TUR
DATA.909777,U-698-M
DATA.909785,WSU-NHL
DATA.909974,RCC10RGB
DATA.909975,KURAMOCHI
DATA.909976,KM-H2
DATA.910401,Ramos-2G6-4C10
DATA.910544,RPMI-8866
DATA.910545,QIMR-WIL
DATA.910546,PSN1
DATA.910554,CW-2
DATA.910567,CHP-126
DATA.910568,CGTH-W-1
DATA.910569,COLO-320-HSR
DATA.910687,ATN-1
DATA.910688,CESS
DATA.910691,COLO-684
DATA.910692,COLO-668
DATA.910697,A388
DATA.910700,C2BBe1
DATA.910703,CA46
DATA.910705,BALL-1
DATA.910706,BL-41
DATA.910710,BV-173
DATA.910780,TGW
DATA.910861,RL
DATA.910905,SNU-C1
DATA.910906,ST486
DATA.910910,UACC-812
DATA.910911,SCC-15
DATA.910919,BC-1
DATA.910921,A101D
DATA.910930,SCC-3
DATA.910933,AM-38
DATA.910934,A4-Fuk
DATA.910935,A3-KAW
DATA.910942,NEC8
DATA.910943,CAS-1
DATA.910944,ALL-PO
DATA.910947,OCI-AML2
DATA.910948,MFM-223
DATA.917486,LS-1034
DATA.924106,CAL-148
DATA.924110,HDLM-2
DATA.924186,KGN
DATA.924188,KNS-81-FD
DATA.924238,K5
DATA.924239,L-363
DATA.924244,NCI-H1975
DATA.924247,SW954
DATA.924248,TE-441-T
DATA.925339,MMAc-SF
DATA.925343,MFH-ino
DATA.925345,NOS-1
DATA.930082,RL95-2
DATA.946355,TE-6
DATA.946356,TE-12
DATA.946358,YT
DATA.946359,BT-474
DATA.946367,D-247MG
DATA.946368,D-263MG
DATA.946369,D-336MG
DATA.946370,D-392MG
DATA.946373,D-502MG
DATA.949088,CTB-1
DATA.949153,HAL-01
DATA.949155,ES8
DATA.949156,ES4
DATA.949157,ES6
DATA.949158,ES1
DATA.949161,EW-3
DATA.949162,EW-12
DATA.949163,EW-1
DATA.949164,EW-18
DATA.949165,EW-16
DATA.949166,EW-13
DATA.949168,EW-24
DATA.949170,LAN-6
DATA.949171,NB10
DATA.949172,NB12
DATA.949173,NB6
DATA.949174,NB7
DATA.949175,NB17
DATA.949176,NB5
DATA.949177,NB13
DATA.949178,NB14
DATA.949179,NB1
DATA.971773,RH-1
DATA.971777,MZ2-MEL
DATA.1240128,ES-2
DATA.1240173,MDST8
DATA.1240181,NB(TU)1-10
DATA.1240182,NCI-H1836
DATA.1240183,NCI-H1869
DATA.1240189,NCI-H211
DATA.1240193,NCI-H847
DATA.1240221,TC-71
DATA.1247871,SUP-B15
DATA.1290455,OCI-AML3
DATA.1290769,CL-11
DATA.1295740,ALL-SIL
DATA.1295741,AMO-1
DATA.1297439,COR-L95
DATA.1297446,DND-41
DATA.1297447,EJM
DATA.1297449,Farage
DATA.1298352,NCI-H2135
DATA.1299075,VCaP
DATA.1303896,GA-10
DATA.1303897,GRANTA-519
DATA.1322218,Hs-445
DATA.1322224,HSC-39
DATA.1323913,NB4
DATA.1327766,JJN-3
DATA.1327768,JM1
DATA.1327769,JSC-1
DATA.1327771,JURL-MK1
DATA.1327774,KARPAS-231
DATA.1330931,KCL-22
DATA.1330933,KOPN-8
DATA.1330935,L-1236
DATA.1330942,ME-1
DATA.1330947,MOLM-13
DATA.1330950,MOLP-8
DATA.1330972,NCI-H1876
DATA.1330982,NU-DUL-1
DATA.1330983,OCI-AML5
DATA.1330984,OCI-LY-19
DATA.1330985,OCI-M1
DATA.1330987,P32-ISH
DATA.1330991,PL-21
DATA.1330995,RC-K8
DATA.1331025,ROS-50
DATA.1331032,SLVL
DATA.1331034,SU-DHL-16
DATA.1331035,SU-DHL-4
DATA.1331037,SU-DHL-6
DATA.1331038,SU-DHL-8
DATA.1331039,SUP-HD1
DATA.1331040,SUP-M2
DATA.1331045,TK
DATA.1331048,VAL
DATA.1331049,WIL2-NS
DATA.1331050,WSU-DLCL2
DATA.724831,NCI-H1299
DATA.753559,HCE-4
DATA.905948,A498
DATA.907281,KMS-12-BM
DATA.908461,NCI-N87
DATA.909740,SNU-C2B
DATA.910695,TGBC24TKB
DATA.910920,A704
DATA.910932,GAK
DATA.924187,KLE
DATA.946353,TE-9
DATA.946354,TE-11
DATA.946357,TC-YIK
DATA.949167,EW-22
DATA.1240166,KYM-1
DATA.1303900,HCC1500
DATA.1327775,KARPAS-620
DATA.753533,BB65-RCC
DATA.909759,SW982
DATA.910779,IA-LM
DATA.906807,CRO-AP2
DATA.908146,MOLT-13
DATA.924241,NCI-H250
DATA.683667,PFSK-1
DATA.684052,A673
DATA.687452,5637
DATA.687455,RT4
DATA.687457,SW780
DATA.687459,TCCSUP
DATA.687505,C-33-A
DATA.687506,C-4-I
DATA.687514,ME-180
DATA.687561,42-MG-BA
DATA.687563,A172
DATA.687586,T98G
DATA.687588,U-118-MG
DATA.687592,YKG-1
DATA.687596,ChaGo-K-1
DATA.687777,Calu-3
DATA.687780,COR-L23
DATA.687787,LK-2
DATA.687798,NCI-H1623
DATA.687802,NCI-H1693
DATA.687812,NCI-H2085
DATA.687815,NCI-H2170
DATA.687816,NCI-H2228
DATA.687819,NCI-H2342
DATA.687820,NCI-H2347
DATA.687821,NCI-H2405
DATA.687829,NCI-H661
DATA.687985,DMS-273
DATA.687995,NCI-H1048
DATA.688011,NCI-H2029
DATA.688058,NCI-H2052
DATA.713880,SBC-5
DATA.713899,LU-135
DATA.717431,SK-N-SH
DATA.722045,NCI-H2030
DATA.722046,NCI-H2122
DATA.722058,NCI-H1734
DATA.722066,NCI-H650
DATA.724812,T24
DATA.724828,SK-N-AS
DATA.724834,NCI-H2087
DATA.724838,UM-UC-3
DATA.724839,SW756
DATA.724855,NCI-H727
DATA.724868,NCI-H1792
DATA.724869,HPAF-II
DATA.724870,MIA-PaCa-2
DATA.724873,NCI-H2009
DATA.724874,NCI-H2291
DATA.724878,SW1573
DATA.749709,HCC1954
DATA.749712,HCC1395
DATA.749714,HCC1937
DATA.749717,HCC38
DATA.753534,BEN
DATA.753535,BHY
DATA.753538,Ca9-22
DATA.753540,CAL-12T
DATA.753541,CAL-33
DATA.753545,CP50-MEL-B
DATA.753554,EBC-1
DATA.753556,EPLC-272H
DATA.753561,HO-1-u-1
DATA.753562,HSC-2
DATA.753566,J82
DATA.753570,KOSC-2
DATA.753572,KP-4
DATA.753573,KYSE-140
DATA.753574,KYSE-410
DATA.753575,KYSE-520
DATA.753576,KYSE-70
DATA.753586,LCLC-103H
DATA.753600,NCI-H1563
DATA.753604,NCI-H292
DATA.753608,PC-14
DATA.753610,SBC-3
DATA.753624,CAPAN-1
DATA.905933,OVCAR-3
DATA.905934,PC-3
DATA.905935,DU-145
DATA.905936,HCT-116
DATA.905937,HCT-15
DATA.905939,HT-29
DATA.905944,NCI-H522
DATA.905945,T47D
DATA.905946,MCF7
DATA.905947,786-0
DATA.905949,A549
DATA.905950,ACHN
DATA.905951,BT-549
DATA.905954,SK-MEL-28
DATA.905956,SK-MEL-5
DATA.905957,Hs-578-T
DATA.905959,SK-OV-3
DATA.905960,MDA-MB-231
DATA.905961,COLO-205
DATA.905962,SW620
DATA.905963,CAKI-1
DATA.905968,IGROV-1
DATA.905969,OVCAR-5
DATA.905973,HOP-92
DATA.905975,M14
DATA.905976,UACC-62
DATA.905979,SN12C
DATA.905981,U031
DATA.905983,U251
DATA.905985,SF295
DATA.905991,OVCAR-8
DATA.906693,BxPC-3
DATA.906696,BHT-101
DATA.906790,AGS
DATA.906791,ABC-1
DATA.906792,A2058
DATA.906793,A375
DATA.906795,8305C
DATA.906797,647-V
DATA.906798,639-V
DATA.906801,BT-20
DATA.906804,A2780
DATA.906805,COR-L105
DATA.906814,COLO-792
DATA.906817,COLO-680N
DATA.906818,COLO-679
DATA.906820,CHP-212
DATA.906821,CFPAC-1
DATA.906824,Ca-Ski
DATA.906826,CAL-120
DATA.906827,CAL-72
DATA.906828,CAL-62
DATA.906830,C32
DATA.906833,Daoy
DATA.906835,DBTRG-05MG
DATA.906837,Detroit562
DATA.906839,DK-MG
DATA.906843,DoTc2-4510
DATA.906848,ECC10
DATA.906851,EFM-19
DATA.906852,EFO-27
DATA.906863,FADU
DATA.906864,FTC-133
DATA.906865,G-361
DATA.906868,GAMG
DATA.906999,GCT
DATA.907000,ESS-1
DATA.907042,H4
DATA.907045,HCC1419
DATA.907046,HCC1569
DATA.907047,HCC1806
DATA.907048,HCC70
DATA.907051,HEC-1
DATA.907055,HGC-27
DATA.907057,HLE
DATA.907058,HMV-II
DATA.907060,HOS
DATA.907061,HSC-3
DATA.907062,HSC-4
DATA.907064,HT-1080
DATA.907065,HT-1197
DATA.907066,HT-1376
DATA.907068,HT-3
DATA.907069,HuCCT1
DATA.907071,HuH-7
DATA.907072,HuO9
DATA.907169,IGR-1
DATA.907171,IPC-298
DATA.907176,JEG-3
DATA.907285,HuP-T3
DATA.907286,HuP-T4
DATA.907287,HT55
DATA.907289,HT-115
DATA.907291,GP5d
DATA.907295,DMS-53
DATA.907298,G-402
DATA.907299,G-401
DATA.907312,KU-19-19
DATA.907317,KYSE-150
DATA.907318,KYSE-180
DATA.907319,KYSE-270
DATA.907320,KYSE-450
DATA.907321,KYSE-510
DATA.907790,LoVo
DATA.907796,LU-99A
DATA.908121,MDA-MB-361
DATA.908122,MDA-MB-453
DATA.908123,MDA-MB-468
DATA.908124,MEL-HO
DATA.908125,MEL-JUSO
DATA.908127,MES-SA
DATA.908128,Mewo
DATA.908129,MFE-280
DATA.908130,MFE-296
DATA.908131,MG-63
DATA.908138,MKN1
DATA.908139,MKN28
DATA.908144,MOG-G-CCM
DATA.908145,MOG-G-UVW
DATA.908443,NCI-H520
DATA.908455,NUGC-3
DATA.908459,NCI-H596
DATA.908460,NCI-H441
DATA.908462,NCI-H2452
DATA.908463,NCI-H1793
DATA.908465,NCI-H358
DATA.908470,NCI-H28
DATA.908472,NCI-H1573
DATA.908474,NCI-H1703
DATA.908475,NCI-H1755
DATA.908476,NCI-H1993
DATA.909251,P12-ICHIKAWA
DATA.909255,PA-1
DATA.909257,OC-314
DATA.909263,RCM-1
DATA.909264,RD
DATA.909699,RMG-I
DATA.909704,RT-112
DATA.909706,RVH-421
DATA.909707,Saos-2
DATA.909708,SAS
DATA.909716,SJRH30
DATA.909719,SK-HEP-1
DATA.909721,SK-LU-1
DATA.909724,SK-MEL-3
DATA.909725,SK-MEL-24
DATA.909726,SK-MEL-30
DATA.909728,SK-MES-1
DATA.909729,SK-MG-1
DATA.909735,SNG-M
DATA.909736,SNU-387
DATA.909737,SNU-423
DATA.909738,SNU-449
DATA.909739,SNU-475
DATA.909744,SW13
DATA.909745,SW1088
DATA.909747,SW1417
DATA.909748,SW1463
DATA.909749,SW1710
DATA.909750,SW1783
DATA.909751,SW48
DATA.909753,SW626
DATA.909755,SW837
DATA.909757,SW948
DATA.909761,T84
DATA.909770,TGBC11TKB
DATA.909774,TYK-nu
DATA.909776,U-2-OS
DATA.909778,UACC-893
DATA.909779,UMC-11
DATA.909781,VMRC-RCZ
DATA.909904,YAPC
DATA.909905,YH-13
DATA.909907,ZR-75-30
DATA.909977,HuO-3N1
DATA.910079,OE19
DATA.910399,NCI-H838
DATA.910548,OAW-42
DATA.910549,OE33
DATA.910689,COLO-678
DATA.910694,LN-405
DATA.910698,BFTC-909
DATA.910701,SCC-25
DATA.910702,AsPC-1
DATA.910704,AU565
DATA.910781,AN3-CA
DATA.910784,A204
DATA.910849,NY
DATA.910850,C3A
DATA.910851,A427
DATA.910852,CAL-85-1
DATA.910853,CHL-1
DATA.910900,NCI-H1651
DATA.910903,RPMI-7951
DATA.910904,SCC-4
DATA.910907,SW1990
DATA.910915,CAPAN-2
DATA.910916,CAL-27
DATA.910922,769-P
DATA.910924,23132-87
DATA.910925,A431
DATA.910926,BFTC-905
DATA.910927,CAL-51
DATA.910931,RERF-LC-MS
DATA.910936,DOK
DATA.910952,CAL-54
DATA.911905,EFO-21
DATA.924100,22RV1
DATA.924102,8505C
DATA.924104,B-CPAP
DATA.924105,BPH-1
DATA.924107,CAL-39
DATA.924108,CaR-1
DATA.924111,HO-1-N-1
DATA.924151,HTC-C3
DATA.924240,MDA-MB-415
DATA.924250,MKN7
DATA.925338,MDA-MB-157
DATA.925340,MKN45
DATA.925341,NCI-H810
DATA.925346,PANC-03-27
DATA.925347,PANC-08-13
DATA.925348,PANC-10-05
DATA.930083,RO82-W-1
DATA.930297,SiHa
DATA.930298,SKG-IIIa
DATA.930299,TT
DATA.946360,OAW-28
DATA.946361,LCLC-97TM1
DATA.946372,D-423MG
DATA.946377,D-566MG
DATA.946382,CAMA-1
DATA.949090,Caov-4
DATA.949093,BT-483
DATA.949094,M059J
DATA.949160,EW-7
DATA.998189,LS-180
DATA.1240121,BICR22
DATA.1240122,BICR78
DATA.1240123,CCK-81
DATA.1240125,COLO-783
DATA.1240127,EN
DATA.1240129,FU-OV-1
DATA.1240130,G-MEL
DATA.1240131,NCI-H2591
DATA.1240132,NCI-H2595
DATA.1240134,NCI-H2731
DATA.1240135,NCI-H2803
DATA.1240136,NCI-H2804
DATA.1240138,NCI-H2869
DATA.1240139,NCI-H290
DATA.1240140,NCI-H3118
DATA.1240141,NCI-H513
DATA.1240142,HARA
DATA.1240143,HCC-15
DATA.1240145,HCC-44
DATA.1240146,HCC-827
DATA.1240147,Hep3B2-1-7
DATA.1240149,Hs-633T
DATA.1240150,Hs-683
DATA.1240153,IGR-37
DATA.1240154,IHH-4
DATA.1240155,IM-95
DATA.1240157,JHH-2
DATA.1240158,JHH-4
DATA.1240159,JHH-6
DATA.1240160,JHH-7
DATA.1240161,JHU-011
DATA.1240162,JHU-022
DATA.1240167,KYSE-220
DATA.1240168,LN-18
DATA.1240169,LN-229
DATA.1240170,LNZTA3WT4
DATA.1240172,MDA-MB-436
DATA.1240174,MFE-319
DATA.1240178,ML-1
DATA.1240179,MS751
DATA.1240184,NCI-H1915
DATA.1240185,NCI-H1944
DATA.1240186,NCI-H196
DATA.1240187,NCI-H2023
DATA.1240190,NCI-H3122
DATA.1240191,NCI-H647
DATA.1240192,NCI-H841
DATA.1240196,OSC-20
DATA.1240197,OV-90
DATA.1240198,OVISE
DATA.1240199,OVKATE
DATA.1240200,OVMIU
DATA.1240201,PA-TU-8988T
DATA.1240202,PC-3_[JPC-3]
DATA.1240204,PCI-15A
DATA.1240205,PCI-38
DATA.1240206,PCI-6A
DATA.1240207,PE-CA-PJ15
DATA.1240209,RERF-GC-1B
DATA.1240210,RH-41
DATA.1240212,SISO
DATA.1240215,SKN
DATA.1240217,SNU-398
DATA.1240218,SU8686
DATA.1240219,SUIT-2
DATA.1240220,SW156
DATA.1240222,TOV-21G
DATA.1240223,TT2609-C02
DATA.1240226,WM278
DATA.1247873,H3255
DATA.1287706,451Lu
DATA.1290722,ASH-3
DATA.1290724,BICR10
DATA.1290725,BICR31
DATA.1290730,CAL-29
DATA.1290765,CAL-78
DATA.1290767,CHSA0011
DATA.1290768,CHSA0108
DATA.1290795,CS1
DATA.1290797,DAN-G
DATA.1290798,EFM-192A
DATA.1290806,FU97
DATA.1290807,G-292-Clone-A141B1
DATA.1290808,NCI-H2369
DATA.1290809,NCI-H2373
DATA.1290810,NCI-H2461
DATA.1290812,NCI-H2722
DATA.1290813,NCI-H2795
DATA.1290814,NCI-H2818
DATA.1290905,HCC1428
DATA.1290906,HCC202
DATA.1290908,HCC-78
DATA.1290922,HDQ-P1
DATA.1298134,HeLa
DATA.1298136,HPAC
DATA.1298141,Hs-766T
DATA.1298145,Hs-940-T
DATA.1298146,huH-1
DATA.1298151,JHH-1
DATA.1298156,JHU-029
DATA.1298157,JIMT-1
DATA.1298160,K2
DATA.1298168,KMRC-1
DATA.1298169,KMRC-20
DATA.1298215,KON
DATA.1298216,KP-1N
DATA.1298218,KP-2
DATA.1298219,KP-3
DATA.1298222,KYSE-50
DATA.1298223,LC-1-sq
DATA.1298226,LOU-NH91
DATA.1298347,NCI-H1435
DATA.1298348,NCI-H1568
DATA.1298349,NCI-H1688
DATA.1298350,NCI-H1781
DATA.1298351,NCI-H2110
DATA.1298353,NCI-H2172
DATA.1298356,NCI-H2444
DATA.1298357,NUGC-4
DATA.1298358,OCUM-1
DATA.1298359,OE21
DATA.1298362,OSC-19
DATA.1298365,OVTOKO
DATA.1298475,PANC-02-03
DATA.1298476,PANC-04-03
DATA.1298526,PA-TU-8902
DATA.1298529,PCI-30
DATA.1298531,PCI-4B
DATA.1298533,PL4
DATA.1298537,RERF-LC-KJ
DATA.1298538,RERF-LC-Sq1
DATA.1298539,RKN
DATA.1299050,SAT
DATA.1299052,SCC90
DATA.1299059,SKN-3
DATA.1299061,STS-0421
DATA.1299062,SW1271
DATA.1299064,T-T
DATA.1299070,TOV-112D
DATA.1299078,WM1552C
DATA.1299080,WM35
DATA.1299081,WM793B
DATA.1303912,CHSA8926
DATA.1330941,MDA-MB-330
DATA.1331036,SU-DHL-5
DATA.909709,SCC-9
DATA.909784,WM-115
DATA.1240151,Hs-746T
DATA.1331033,SU-DHL-10
DATA.687980,COR-L311
DATA.753539,CADO-ES1
DATA.909746,SW1116
DATA.910941,CHP-134
DATA.971774,RH-18
DATA.1297438,COR-L303
DATA.1298534,QGP-1
DATA.1322213,COR-L321
DATA.1479987,DOV13
DATA.1479988,Hey
DATA.1479995,JHOS-2
DATA.1480358,JHOS-3
DATA.1480360,OV-7
DATA.1480361,OV-17R
DATA.1480362,OV-56
DATA.1480364,OVCA420
DATA.1480371,OVK-18
DATA.1480372,PEO1
DATA.1480374,UWB1.289
DATA.1503361,FLO-1
DATA.1503362,OACp4C
DATA.1503363,OACM5-1
DATA.1503365,SK-GT-4
DATA.1503366,ESO26
DATA.1503367,ESO51
DATA.1503368,KYAE-1
DATA.1503369,EMC-BAC-1
DATA.1503370,EMC-BAC-2
DATA.1503371,TE-4
DATA.1509074,NCC021
DATA.1524414,RCC-FG2
DATA.1524415,RCC-JF
DATA.1524416,RCC-JW
DATA.1524417,RCC-ER
DATA.1524418,RCC-AB
DATA.1524419,RCC-MF
DATA.1659817,KMS-11
DATA.1659823,SNU-1040
DATA.1659928,SNU-175
DATA.1660034,SNU-407
DATA.1660035,SNU-61
DATA.1660036,SNU-81
DATA.1674021,SNU-C5
DATA.753569,KNS-62
DATA.753607,NCI-H835
DATA.907276,KATOIII
DATA.908468,NCI-H1105
DATA.910899,NCI-H146
DATA.998184,Jurkat
DATA.1240137,NCI-H2810
DATA.1330964,NCI-H1341
DATA.1330973,NCI-H2066
DATA.1330993,PWR-1E
DATA.1330994,RCH-ACV
DATA.1480359,JHOS-4
DATA.910951,CML-T1
DATA.713869,VMRC-LCD
DATA.724825,NCI-H929
DATA.749710,HCC1143
DATA.908132,MHH-CALL-2
DATA.909718,SK-CO-1
DATA.909727,SK-MEL-31
DATA.910209,SUP-B8
DATA.910566,CMK
DATA.910937,COR-L279
DATA.1240144,HCC-366
DATA.1327765,JEKO-1
DATA.1327773,KARPAS-1106P
DATA.1330948,MOLM-16
DATA.1503364,SK-GT-2
DATA.1509073,NCC010
DATA.1659818,MM1S
DATA.1659819,OCI-LY7
DATA.1322212,COR-L32
